no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Booking_ID_encoded,type_of_meal_plan_encoded,room_type_reserved_encoded,market_segment_type_encoded,booking_status_encoded
2,0,1,2,0,224,2017,10,2,0,0,0,65.0,0,0,0,0,3,1
2,0,2,3,0,5,2018,11,6,0,0,0,106.68,1,1,3,0,4,1
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,2,0,0,4,0
2,0,0,2,0,211,2018,5,20,0,0,0,100.0,0,3,0,0,4,0
2,0,1,1,0,48,2018,4,11,0,0,0,94.5,0,4,3,0,4,0
2,0,0,2,0,346,2018,9,13,0,0,0,115.0,1,5,1,0,4,0
2,0,1,3,0,34,2017,10,15,0,0,0,107.55,1,6,0,0,4,1
2,0,1,3,0,83,2018,12,26,0,0,0,105.61,1,7,0,3,4,1
3,0,0,4,0,121,2018,7,6,0,0,0,96.9,1,8,0,0,3,1
2,0,0,5,0,44,2018,10,18,0,0,0,133.44,3,9,0,3,4,1
1,0,1,0,0,0,2018,9,11,0,0,0,85.03,0,10,3,0,4,1
1,0,2,1,0,35,2018,4,30,0,0,0,140.4,1,11,0,3,4,1
2,0,2,1,0,30,2018,11,26,0,0,0,88.0,0,12,3,0,4,0
1,0,2,0,0,95,2018,11,20,0,0,0,90.0,2,13,0,0,4,0
2,0,0,2,0,47,2017,10,20,0,0,0,94.5,2,14,0,0,4,1
2,0,0,2,0,256,2018,6,15,0,0,0,115.0,1,15,1,0,4,0
1,0,1,0,0,0,2017,10,5,0,0,0,96.0,0,16,0,0,3,1
2,0,1,3,0,1,2017,8,10,0,0,0,96.0,1,17,3,0,4,1
2,0,2,2,0,99,2017,10,30,0,0,0,65.0,0,18,0,0,4,0
2,0,1,0,0,12,2017,10,4,0,0,0,72.0,0,19,0,0,3,1
2,0,2,2,0,99,2017,10,30,0,0,0,65.0,0,20,0,0,4,0
1,0,0,1,0,122,2018,11,25,0,0,0,67.0,0,21,0,0,2,1
2,0,2,4,0,2,2018,3,20,0,0,0,85.0,0,22,0,0,3,1
2,0,0,3,0,37,2018,10,13,0,0,0,105.0,0,23,0,0,3,1
2,0,2,1,0,130,2018,5,22,0,0,0,94.5,1,24,3,0,4,1
2,0,0,2,0,99,2018,4,28,0,0,0,114.3,1,25,0,0,4,1
2,0,1,1,0,60,2017,9,21,0,0,0,65.0,0,26,0,0,3,1
1,0,0,2,0,2,2018,5,19,0,0,0,110.0,0,27,0,3,0,0
1,0,1,2,0,37,2017,11,6,0,0,0,37.33,0,28,0,0,4,0
2,0,0,2,0,56,2017,9,17,0,0,0,82.0,0,29,1,0,3,1
2,0,1,1,0,3,2017,9,19,0,0,0,177.5,1,30,0,3,4,1
2,0,2,2,0,107,2018,11,13,0,0,0,87.5,1,31,0,0,4,1
0,2,0,3,0,56,2018,12,7,0,0,0,82.44,1,32,0,1,4,1
2,0,0,1,0,2,2018,1,9,0,0,0,69.5,1,33,3,0,4,1
2,0,0,2,0,72,2018,10,7,0,0,0,85.5,0,34,0,0,3,1
2,0,0,1,1,23,2018,4,27,0,0,0,115.0,1,35,3,0,4,1
1,0,2,1,0,34,2018,6,19,0,0,0,81.0,0,36,0,0,4,0
2,0,0,1,0,289,2017,10,17,0,0,0,67.0,0,37,0,0,3,1
2,0,2,3,0,247,2018,11,19,0,0,0,63.75,0,38,3,0,4,0
2,0,2,1,0,186,2018,7,30,0,0,0,121.8,1,39,0,3,4,0
2,0,0,4,0,64,2018,11,1,0,0,0,93.6,2,40,0,0,4,1
2,0,0,2,0,35,2018,6,21,0,0,0,102.0,1,41,0,0,4,1
3,0,2,1,0,96,2018,4,10,0,0,0,121.8,1,42,0,0,4,1
2,0,1,1,0,41,2018,6,27,0,0,0,98.1,1,43,3,0,4,0
2,0,0,4,0,55,2017,11,18,0,0,0,60.0,1,44,0,3,3,1
2,0,0,3,0,146,2017,12,29,0,0,0,75.0,0,45,0,0,3,1
1,0,0,2,0,32,2017,11,20,0,0,0,73.0,0,46,0,0,3,1
2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,47,1,0,3,1
2,0,0,4,0,57,2018,11,1,0,0,0,79.2,1,48,3,0,4,1
1,0,1,3,0,7,2018,12,29,0,0,0,125.8,2,49,0,3,4,1
1,0,2,5,0,124,2018,5,30,0,0,0,87.95,0,50,3,0,4,1
2,0,2,2,0,169,2018,4,22,0,0,0,106.0,0,51,1,0,4,0
1,0,1,2,0,6,2018,5,16,0,0,0,136.67,1,52,0,0,4,1
2,0,0,4,0,51,2017,11,11,0,0,0,60.0,1,53,0,3,3,1
2,0,1,0,0,13,2018,6,13,0,0,0,89.0,2,54,3,0,4,1
2,0,1,3,0,100,2018,5,19,0,0,0,136.0,1,55,0,0,4,1
2,0,0,1,0,139,2018,7,28,0,0,0,94.5,1,56,3,0,4,1
2,0,1,2,0,117,2018,12,26,0,0,0,93.6,2,57,0,0,4,1
2,0,1,4,0,39,2018,4,20,0,0,0,120.6,0,58,0,3,4,0
